"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,

"2. Population by sex, residence, and intercensal rates of increase for total population, each census: 1948-1997",,,,,,,,,,,,,,,,,,
"Population selon le sexe, résidence et taux d'accroissement intercensitaire pour la population totale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,

"Continent, country or area and date",,,Source[a],Enumerated population,,,,,,Annual rate,,Urban population,,,,Rural population,,
,,,,Population dénombrée,,,,,,of increase (%)[b],,Population urbaine,,,,Population rurale,,
"Continent, pays ou zone et date",,,,,,,,,,Taux d'accroissement,,,,,,,,
,,,,Total,,Male,,Female,,annuel (%)[b],,Number,,Per cent,,Number,,Per cent
,,,,,,Masculin,,Féminin,,,,Nombre,,P.100,,Nombre,,P.100
AFRICA - AFRIQUE,,,,,,,,,,,,,,,,,,
,Algeria - Algérie,,,,,,,,,,,,,,,,,
,,31 X 1948,Cdf,8524100,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,31 X 1954,Cdf,9529726,,[...],,[...],,1.9,,[...],,[...],,[...],,[...] 
,,1 II 1960,Cdf,10784309,,[...],,[...],,2.1,,[...],,[...],,[...],,[...] 
,,4 IV 1966,Cdf,11821679,,5817145,,6004534,,1.5,,[...],,[...],,[...],,[...] 
,,12 II 1977,Cdj,16260491,,8153375,,8107116,,[...],,[...],,[...],,[...],,[...] 
,,20 III 1987,Cdj,23033942,,[...],,[...],,3.5,,[...],,[...],,[...],,[...] 
,Angola,,,,,,,,,,,,,,,,,
,,30 XII 1950,Cdf,4145266,,2033568,,2111698,,[...],,[...],,[...],,[...],,[...] 
,,30 XII 1960,Cdf,4840719,,2464775,,2375944,,1.6,,[...],,[...],,[...],,[...] 
,,15 XII 1970,Cdf,5646166,,2943974,,2702192,,1.5,,[...],,[...],,[...],,[...] 
,Benin - Bénin,,,,,,,,,,,,,,,,,
,,20 III 1979,Cdf,3331210,,1596939,,1734271,,[...],,1313710,,39.4,,2017500,,60.6
,,15 II 1992,Cdf,4915555,,2390336,,2525219,,3,,1756197,,35.7,,3159358,,64.3
,"Botswana [1], [2]",,,,,,,,,,,,,,,,,
,,15 I 1964,Cdj,543105,,264535,,278570,,[...],,17277,,3.2,,525828,,96.8
,,31 VIII 1971,Cdf,574094,,262121,,311973,,[...],,57503,,10,,516591,,90
,,12 VIII 1981,Cdf,941027,,443104,,497923,,4.9,,150012,,15.9,,791015,,84.1
,,21 VIII 1991,Cdf,1326796,,634400,,692396,,3.4,,[...],,[...],,[...],,[...] 
,Burkina Faso,,,,,,,,,,,,,,,,,
,,30 IX 1960,Sdf,4300000,,2158600,,2141400,,[...],,[...],,[...],,[...],,[...] 
,,7 XII 1975,Cdf,5638203,,2827578,,2810625,,[...],,[...],,[...],,[...],,[...] 
,,10 XII 1985,Cdf,7964705,,3833237,,4131468,,3.5,,928929,,11.7,,7035776,,88.3
,Burundi [3],,,,,,,,,,,,,,,,,
,,25 II 1965,Sdf,3210090,,1584530,,1625560,,[...],,71390,,2.2,,3138700,,97.8
,,16 VIII 1979,Cdf,4114135,,1988292,,2125843,,[...],,[...],,[...],,[...],,[...] 
,,16 VIII 1990,Cdf,5139073,,2473599,,2665474,,2,,[...],,[...],,[...],,[...] 
,Cameroon - Cameroun [4],,,,,,,,,,,,,,,,,
,,9 IV 1976,Cdf,7090115,,3472786,,3617329,,[...],,1984451,,28,,5105664,,72
,,IV 1987,Cdf,10493655,,[...],,[...],,3.6,,[...],,[...],,[...],,[...] 
,Cape Verde - Cap-Vert,,,,,,,,,,,,,,,,,
,,15 XII 1950,Cdf,148331,,67302,,81029,,[...],,[...],,[...],,[...],,[...] 
,,15 XII 1960,Cdf,199661,,93010,,106651,,3,,[...],,[...],,[...],,[...] 
,,15 XII 1970,Cdf,272571,,131785,,140786,,3.1,,[...],,[...],,[...],,[...] 
,,2 VI 1980,Cdf,289027,,131266,,157761,,0.6,,[...],,[...],,[...],,[...] 
,,23 VI 1990,Cdf,341491,,161494,,179997,,1.7,,150599,,44.1,,190892,,55.9
,Central African Republic - République centrafricaine,,,,,,,,,,,,,,,,,
,,8 XII 1975,Cdf,2054610,,985224,,1069386,,[...],,708321,,34.5,,1346289,,65.5
,,8 XII 1988,Cdf,2463616,,1210734,,1252882,,1.4,,[...],,[...],,[...],,[...] 
,Chad - Tchad,,,,,,,,,,,,,,,,,
,,8 IV 1993,Cdf,6279931,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,Comoros - Comores [5],,,,,,,,,,,,,,,,,
,,7 IX 1958,Cdf,183133,,86986,,96147,,[...],,[...],,[...],,[...],,[...] 
,,VII 1966,Cdf,243948,,119909,,124039,,3.6,,[...],,[...],,[...],,[...] 
,,15 IX 1980,Cdf,335150,,167089,,168061,,2.3,,78106,,23.3,,257044,,76.7
,,15 IX 1991,Cdf,446817,,221152,,225665,,2.6,,127219,,28.5,,319598,,71.5
,Congo,,,,,,,,,,,,,,,,,
,,7 II 1974,Cdf,1300120,,641059,,659061,,[...],,512447,,39.4,,787673,,60.6
,,22 XII 1984,Cdf,1843421,,[...],,[...],,3.5,,[...],,[...],,[...],,[...] 
,Côte d'Ivoire,,,,,,,,,,,,,,,,,
,,30 IV 1975,Cdf,6709600,,3474750,,3234850,,[...],,2146293,,32,,4563307,,68
,,1 III 1988,Cdf,10815694,,5527343,,5288351,,3.7,,4220535,,39,,6595159,,61
,Democratic Republic of the Congo - République démocratique du Congo,,,,,,,,,,,,,,,,,
,,1 VII 1984,Cdf,29916800,,14543800,,15373000,,[...],,[...],,[...],,[...],,[...] 
,Djibouti,,,,,,,,,,,,,,,,,
,,1960,Cdf,81200,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,Egypt - Égypte,,,,,,,,,,,,,,,,,
