"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"3. Population by age, sex, and urban/rural residence, each census: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population selon l'âge, le sexe et la résidence, urbaine/rurale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, country or area,",,,,,Source[a],Code[b],Age (in years) - Age (en années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"residence, sex and date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, pays ou zone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"résidence, sexe et date",,,,,,,All ages, -1,, 1-4,, 5-9,, 10-14,, 15-19,, 20-24,, 25-29,, 30-34,, 35-39,, 40-44,, 45-49,, 50-54,, 55-59,, 60-64,, 65-69,, 70-74,, 75-79,, 80-84,, 85-89,, 90-94,, 95-99,, 100+,,Unknown
,,,,,,,Tous âges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnu
AFRICA - AFRIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Algeria - Algérie [1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,Sdj,C,9745480,4284380,[=>],[0-14],,[0-14],,[0-14],,783820,,713960,,686740,,1981120,[=>],[30-49],,[30-49],,[30-49],,363200,,268220,,248940,,400060,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,15040
,,,4 IV 1966,,Cdj,C,12096347,488759,,1855442,,1790460,,1569529,,1095656,,822576,,798533,,729893,,602989,,469580,,397082,,357469,,298989,,267879,,197973,,141194,,86676,,55100,,49470,[=>],[85+],,[85+],,[85+],,21098
,,,12 II 1977,,Cdj,C,16260491,670587,,2348023,,2547083,,2150929,,1679190,,1411402,,1064682,,715937,,718298,,666971,,553670,,425941,,373367,,294669,,262259,,171303,,113742,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,92438
,,,1 VII 1982,,Edj,U,19857006,788323,,2738281,,3028193,,2605239,,2214056,,1729545,,1439633,,1102064,,736695,,700952,,667195,,552025,,424940,,357426,,270055,,234313,,142970,,125101,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 I 1983,,Edj,U,20192000,758000,,2830000,,3039000,,2666000,,2256000,,1757000,,1469000,,1107000,,743000,,730000,,685000,,561000,,433000,,368000,,277000,,239000,,146000,,128000,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 I 1984,,Edj,U,20841000,777000,,2921000,,3138000,,2752000,,2329000,,1814000,,1516000,,1142000,,766000,,754000,,707000,,579000,,448000,,380000,,286000,,247000,,150000,,135000,[=>],[80+],,[80+],,[80+],,[80+],,-
