law_id,importance,domains,why,year,title_fa,path
e705e648c9bf,moderate,customs_trade,Law on calculating/collecting customs duties for imported vs domestic-made vehicles/parts — direct tariff instrument.,1992,قانون چگونگي محاسبه و وصول حقوق گمركي، س ... راهسازي وارداتي و ساخت داخل و قطعات آنها,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_چگونگي_محاسبه_و_وصول_حقوق_گمركي،_س_..._راهسازي_وارداتي_و_ساخت_داخل_و_قطعات_آنها_3489923977457885212.txt
17f9e848a44a,major,banking_money,1979 nationalization law of insurance and credit institutions — headline financial-sector nationalization.,1979,لايحه قانون ملي شدن موسسات بيمه و موسسات اعتباري,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_قانون_ملي_شدن_موسسات_بيمه_و_موسسات_اعتباري_6471832425163657477.txt
a01eb6397103,major,oil_gas,1951 oil nationalization implementation bill — foundational national economic policy.,1951,طرح قانوني دائر بطرز اجراي اصل ملي شدن صنعت نفت در سراسر كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/طرح_قانوني_دائر_بطرز_اجراي_اصل_ملي_شدن_صنعت_نفت_در_سراسر_كشور_12525942898480863707.txt
254385da25e0,minor,budget_fiscal,Annual national budget law (1344) sets government spending/revenue.,1965,قانون بودجه سال 1344 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1344_كل_كشور_3977129219901237580.txt
48ba5ed2d771,minor,budget_fiscal,Annual national budget law (1375).,1996,قانون بودجه سال 1375 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1375_كل_كشور_739102160062214243.txt
5572cb5be4c4,moderate,budget_fiscal,Law distributing 30 billion rial across development/current budgets and loan repayments.,1974,قانون نحوه توزيع سي ميليارد 30000000000  ... نامه هاي عمراني و جاري و بازپرداخت وامها,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_نحوه_توزيع_سي_ميليارد_30000000000__..._نامه_هاي_عمراني_و_جاري_و_بازپرداخت_وامها_7464091114093015535.txt
70834a700034,moderate,banking_money,Law on powers of the Industrial Credit Bank — shapes industrial credit allocation.,1971,قانون اختيارات بانك اعتبارات صنعتي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اختيارات_بانك_اعتبارات_صنعتي_5006660304420791075.txt
bf635923cb31,moderate,agriculture,Bill addressing problems of agricultural joint-stock companies/production cooperatives — affects farm output organization.,1980,لايحه قانوني راجع به رفع مشكلات مربوط به ... اي سهامي زراعي و تعاونيهاي توليد روستائي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_قانوني_راجع_به_رفع_مشكلات_مربوط_به_..._اي_سهامي_زراعي_و_تعاونيهاي_توليد_روستائي_12853029137413453685.txt
4b2212efe1c8,moderate,agriculture|housing,Law determining status of cultivated lands/structures on crown (khaliseh) lands — land reform instrument.,1975,قانون تعيين تكليف اراضي مزروعي و اعيان مستحدث از طرف اشخاص در دهات و مزارع خالصه,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تعيين_تكليف_اراضي_مزروعي_و_اعيان_مستحدث_از_طرف_اشخاص_در_دهات_و_مزارع_خالصه_6925798666984715077.txt
b9fe487f2bd0,moderate,agriculture,Law on protection/exploitation of forests and rangelands — regulates a natural-resource economic input.,1967,قانون حفاظت و بهره   برداري از جنگلها و مراتع,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_حفاظت_و_بهره___برداري_از_جنگلها_و_مراتع_2746259939847080675.txt
