market_id,market,countryiso3,admin1,admin2,latitude,longitude
7509,Aracua,VEN,Falcon,Bolivar,10.99,-69.58
7510,Chimpire,VEN,Falcon,Piritu,11.35,-69.12
7511,Churuguara,VEN,Falcon,Federacion,10.81,-69.54
7512,Dabajuro,VEN,Falcon,Dabajuro,11.02,-70.68
7513,El Moyepo,VEN,Falcon,Colina,11.25,-69.45
7514,Los Tablones,VEN,Falcon,Zamora,11.32,-69.36
7515,Marcillal de la Costa,VEN,Falcon,Jacura,11.2,-68.84
7516,Mene de Mauroa,VEN,Falcon,Mauroa,10.68,-71.04
7517,Pueblo Nuevo,VEN,Falcon,Jacura,11.11,-68.84
7518,Puerto Cumarebo,VEN,Falcon,Zamora,11.49,-69.35
7519,Punto Fijo,VEN,Falcon,Carirubana,11.71,-70.18
7520,Sabaneta,VEN,Falcon,Petit,11.17,-69.68
7521,Urumaco,VEN,Falcon,Urumaco,11.2,-70.26
7522,Yaracal,VEN,Falcon,Cacique Manaure,10.97,-68.55
7523,Coro,VEN,Falcon,Miranda,11.4,-69.68
7526,Pedregal,VEN,Falcon,Democracia,11.02,-70.11
7527,Santa Cruz de Bucaral,VEN,Falcon,Union,10.83,-69.27
7528,La Vela de Coro,VEN,Falcon,Colina,11.46,-69.57
7529,Chichiriviche,VEN,Falcon,Monseñor Iturriza,10.94,-68.28
7530,Tucacas,VEN,Falcon,Silva,10.79,-68.32
7531,Adicora,VEN,Falcon,Falcon,11.94,-69.81
7532,Pueblo Nuevo (Falcon),VEN,Falcon,Falcon,11.95,-69.92
8263,Sabaneta de Barinas,VEN,Barinas,Alberto Arvelo Tor,8.76,-69.94
8264,El Cantón,VEN,Barinas,Andres Eloy Blanco,7.48,-71.3
8265,Socopó,VEN,Barinas,Antonio Jose De Su,8.23,-70.82
8266,Barinas,VEN,Barinas,Barinas,8.62,-70.24
8267,Barinitas,VEN,Barinas,Bolivar,8.76,-70.4
8268,"Barrancas, Cruz Paredes",VEN,Barinas,Cruz Paredes,8.77,-70.11
8269,Santa Barbara de Barinas,VEN,Barinas,Ezequiel Zamora,7.81,-71.18
8270,Obispos,VEN,Barinas,Obispos,8.61,-70.1
8271,Ciudad Bolivia,VEN,Barinas,Pedraza,8.35,-70.57
8272,Libertad,VEN,Barinas,Rojas,8.33,-69.63
8273,Ciudad de las Nutrias,VEN,Barinas,Sosa,8.1,-69.31
8274,Curiapo,VEN,Delta Amacuro,Antonio Diaz,8.58,-61
8275,El Triunfo,VEN,Delta Amacuro,Casacoima,8.41,-62.49
8276,Capure,VEN,Delta Amacuro,Pedernales,9.98,-62.24
8277,Tucupita,VEN,Delta Amacuro,Tucupita,9.06,-62.05
8278,Santa Isabel,VEN,Trujillo,Andres Bello,9.63,-70.81
8279,Boconó,VEN,Trujillo,Bocono,9.25,-70.27
8280,Sabana Grande,VEN,Trujillo,Bolivar,9.41,-70.8
8281,Chejendé,VEN,Trujillo,Candelaria,9.62,-70.36
8282,Carache,VEN,Trujillo,Carache,9.63,-70.23
8283,Escuque,VEN,Trujillo,Escuque,9.3,-70.67
8284,El Paradero,VEN,Trujillo,Jose Felipe Marque,9.77,-70.61
8285,Campo Elías,VEN,Trujillo,Juan Vicente Campo,9.39,-70.06
8286,Santa Apolonia,VEN,Trujillo,La Ceiba,9.47,-71.01
8287,El Dividive,VEN,Trujillo,Miranda,9.48,-70.74
8288,Monte Carmelo,VEN,Trujillo,Monte Carmelo,9.19,-70.81
8289,Motatán,VEN,Trujillo,Motatan,9.39,-70.59
8290,Pampán,VEN,Trujillo,Pampan,9.45,-70.47
8291,Pampanito,VEN,Trujillo,Pampanito,9.41,-70.49
