date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.25,1.25
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.71,0.71
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,0.98,0.98
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,1.26,1.26
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,1.77,1.77
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,3.38,3.38
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,miscellaneous food,Salt,185,KG,actual,Retail,USD,0.34,0.34
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,miscellaneous food,Sugar,97,KG,actual,Retail,USD,1.52,1.52
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,oil and fats,Margarine,1260,0.5 KG,actual,Retail,USD,2.1,2.1
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,oil and fats,Oil (vegetable),96,850 ML,actual,Retail,USD,2.43,2.43
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,pulses and nuts,"Beans (black, dry)",1259,KG,actual,Retail,USD,2.32,2.32
2022-08-15,Falcon,Bolivar,Aracua,7509,10.99,-69.58,pulses and nuts,Lentils,108,900 G,actual,Retail,USD,3.21,3.21
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,cereals and tubers,Cassava,68,KG,actual,Retail,USD,0.94,0.94
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.44,1.44
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.93,0.93
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,cereals and tubers,Potatoes,83,KG,actual,Retail,USD,1.36,1.36
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,0.93,0.93
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,4.95,4.95
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,1.22,1.22
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,1.89,1.89
