series,1963_64,1964_65,1965_66,1966_67,1967_68,1968_69,1969_70,1970_71_estimate,unit
exports_total,69.8,79.4,88.3,99.8,122.3,133.8,158.9,183.7,million metric tons
exports_crude,54.5,64.4,73.3,84.8,107.3,117.6,142.6,166.7,million metric tons
exports_products,15.3,15.1,15.0,15.0,15.0,16.2,16.3,17.0,million metric tons
revenues_total,388.0,466.5,514.1,608.1,751.6,853.5,964.6,1164.0,million US dollars
revenues_consortium,388.0,466.5,512.1,591.5,715.3,817.3,915.5,1092.0,million US dollars
revenues_nioc,,,,,,5.2,19.0,30.0,million US dollars
revenues_other_companies,,,2.0,16.6,36.3,31.0,30.1,42.0,million US dollars
avg_revenue_per_ton_total,5.56,5.88,5.82,6.09,6.15,6.38,6.07,6.34,US dollars per ton
avg_revenue_per_ton_consortium,5.67,5.97,6.05,6.19,6.15,6.33,6.35,6.67,US dollars per ton
avg_revenue_per_ton_other_companies,,,0.56,3.86,6.05,4.84,2.33,2.40,US dollars per ton
