date_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,citation
1973 (approx),1973,Demographics & Population,Total population,30.8,million,As stated in Introduction; not a precise census year.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.9 (printed p.1)"
1964/65-1971/72,1972,Macro / National Accounts,Real GNP average annual growth rate,11,percent,"Iran's GNP growth rate 1964/65 through 1971/72, described as fastest in Middle East over that span.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.10 (printed p.2)"
1964/65-1971/72,1972,Macro / National Accounts,"Figure 1/2 GNP-growth index charts -- SKIPPED (no printed per-year data labels, axis-only index charts)",,,Documents which figures were skipped and why; not a missing data point to be filled in later.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.10 (printed p.2)"
1971/72,1972,Macro / National Accounts,Agriculture share of national output,16,percent of GNP,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.11 (printed p.3)"
1971/72,1972,Labor & Employment,Agriculture share of labor force,37,percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.11 (printed p.3)"
1971/72,1972,Macro / National Accounts,Petroleum share of GNP,23,percent of GNP,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.11 (printed p.3)"
1971/72,1972,Government Finance,Petroleum share of budgetary revenues,>50,percent,"""supplied more than half of the budgetary revenues""",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.11 (printed p.3)"
1971/72,1972,Foreign exchange,Petroleum share of foreign exchange earnings,55,percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.11 (printed p.3)"
1971/72,1972,Labor & Employment,Petroleum sector share of total labor force,0.5,percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.11 (printed p.3)"
1960/61 vs 1971/72,1972,Macro / National Accounts,"Figure 3 GNP distribution chart, Agriculture row (legible; other category rows skipped as illegible)",33.1 (1960/61) / 16.2 (1971/72),percent of GNP,"Other Figure 3 category rows (public services, private services, banking/insurance, transport/communication, water/power, construction, industry/mines) not transcribed -- rotated axis labels and low scan legibility made exact category-to-value mapping unreliable; not guessed.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.11 (printed p.3)"
n/a,1973,Land Use,Iran total land area,402,million acres,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
