date_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,citation
1973,1973,Macro / National Accounts,Real GNP growth rate,33,percent,"Iran's economy grew 33% in 1973, described as the world's fastest-growing economy, sustained for over a decade.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.2"
1974,1974,Macro / National Accounts,Real GNP growth rate (expected),40,percent,"Growth expected to accelerate to 40% in 1974, driven by the recent oil-price surge.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.2"
1974,1974,Macro / National Accounts,GNP level,40000000000,USD,Iran's GNP of about $40 billion described as more than four times that of nearest Middle East rivals Egypt and Israel.,IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.2"
1973-1977 (Fifth Plan),1973,Government finance,"Fifth Development Plan spending, originally planned",23000000000,USD,Fifth Plan (1973-77) development spending originally planned at $23 billion before being expanded.,IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.2"
1973-1977 (Fifth Plan),1974,Government finance,"Fifth Development Plan spending, expanded total",45000000000,USD,Development spending expanded from the original $23 billion plan to $45 billion during the Fifth Plan.,IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.2"
1974-1980 (rest of decade),1974,Oil production & trade,"Expected annual oil revenue, rest of decade",20000000000,USD/year,"The Shah could count on oil revenues of some $20 billion annually through the rest of the decade absent a sharp price reversal, to finance development plans.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.2"
1974,1974,Foreign aid,Iran's foreign lending/investment commitments,8000000000,USD (more than),"In 1974 the Shah committed more than $8 billion to foreign lending and investment abroad (advances to France/UK, Krupp steel stake, aid credits to India, loans to Egypt/Syria/African nations) to recycle surplus oil funds.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.2"
1967-1973,1970,Military expenditure,"Arms spending, cumulative",8000000000,USD,"About $8 billion spent on armaments in 1967-73, the largest arms buildup in the Middle East, aimed at Persian Gulf dominance and Indian Ocean influence.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
1974,1974,Military expenditure,US F-14/Phoenix missile contract value,600000000,USD,Contract signed for $600 million for US F-14 fighters armed with Phoenix air-to-air missiles.,IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
1972,1972,Prices,Consumer/wholesale price inflation,6,percent,"Price increase of 6% in 1972, cited as a baseline before the 1973-74 acceleration.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
1973,1973,Prices,Consumer/wholesale price inflation,11,percent,Price increase of 11% in 1973.,IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
1974 Q1,1974,Prices,"Consumer/wholesale price inflation, annualized rate",16,percent,"Prices during the first quarter of 1974 ran at an annual rate of 16%, attributed to large government outlays and enormous capital inflow.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
1974,1974,Inequality & Wealth,Income share of top 20 percent,50,percent (over half),"Despite large government spending, the top 20% of the population probably still received over half of total income.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
1974,1974,Inequality & Wealth,Income share of bottom 20 percent,5,percent (about),The lowest 20% of the population received only about 5% of total income -- paired with the top-20% figure to show persistent inequality despite the oil boom.,IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
"1973-1977 (Fifth Plan, current)",1974,Government finance,Planned investment in industrial expansion,6000000000,USD,"Tehran plans to invest $6 billion in industrial expansion during the current (Fifth) Plan, an opportunity area for US business (design/equipment/installation).",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
