country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,notes
IRN,Iran,1931,26,factories,number_of_textile_factories,Number of textile factories,iran-textile-industry:pahlavi-era-textile-sector-overview,1931,"Average 25 workers each nationally; Isfahan led with 8 mills (5,372 workers); Yazd 2 mills (1,074 workers); Kerman and Shahi each had 1 mill"
IRN,Iran,1931,29,"mills (cumulative, minimum)",large_scale_mills_established,Large-scale mills established,iran-textile-industry:pahlavi-era-textile-sector-overview,1931-1938,"Also 32 hosiery factories (1,584 workers) and 12 wool-cleaning plants (225 workers) founded in the 1930s"
IRN,Iran,1940,76,factories,cotton_ginning_factories,Cotton-ginning factories,iran-textile-industry:pahlavi-era-textile-sector-overview,1940,"~1,500 workers"
IRN,Iran,1940,24500,workers,modern_textile_factory_employment,Modern textile factory employment,iran-textile-industry:pahlavi-era-textile-sector-overview,1940,"compared to only ~1,000 workers twenty years prior (i.e. early 1920s)"
IRN,Iran,1948,26,mills,cotton_weaving_spinning_mills,Cotton weaving/spinning mills,iran-textile-industry:pahlavi-era-textile-sector-overview,1948,"188,000 spindles, producing 10,800 tons annually"
IRN,Iran,1955,51,companies,textile_companies,Textile companies,iran-textile-industry:pahlavi-era-textile-sector-overview,1955,"41 of the 51 were cotton-based; 370,000 spindles and 5,000 weaving/knitting machines nationally"
IRN,Iran,1957,40,percent,handloom_share_of_output,Handloom share of output,iran-textile-industry:pahlavi-era-textile-sector-overview,1957,Handlooms still produced 40% of total textile output while employing 70% of the sector workforce -- i.e. modern mills already had much higher labor productivity
IRN,Iran,1959,approximately 200,million meters (cloth),total_sector_output,Total sector output,iran-textile-industry:pahlavi-era-textile-sector-overview,1959,Modern (non-handloom) factories produced over 60% of this total
IRN,Iran,1950,nearly doubled,spindles,spindle_count_growth,Spindle count growth,iran-textile-industry:pahlavi-era-textile-sector-overview,1950-1962,Textile machines (looms/knitting) nearly TRIPLED over the same period
IRN,Iran,1972,900000,spindles,spindles,Spindles,iran-textile-industry:pahlavi-era-textile-sector-overview,1972,Effectively doubling the spindle-linked workforce capacity versus 1962
IRN,Iran,1972,17000,machines,weaving_and_knitting_machines,Weaving and knitting machines,iran-textile-industry:pahlavi-era-textile-sector-overview,1972,
IRN,Iran,1972,145000,workers,textile_sector_employment,Textile sector employment,iran-textile-industry:pahlavi-era-textile-sector-overview,1972,Described as roughly double the 1962 textile workforce
IRN,Iran,1972,70000,workers,clothing_apparel_industry_employment,Clothing (apparel) industry employment,iran-textile-industry:pahlavi-era-textile-sector-overview,1972,Separate from the textile (fabric-production) workforce count above
IRN,Iran,1972,6,percent of total cotton textile output,cotton_textile_export_share,Cotton textile export share,iran-textile-industry:pahlavi-era-textile-sector-overview,1972,Driven by domestic overcapacity relative to demand at the time
IRN,Iran,1972,25-40,percent above average US import price,mass_consumption_textile_price_premium,Mass-consumption textile price premium,iran-textile-industry:pahlavi-era-textile-sector-overview,1972,"'Chit' and 'khodari' fabrics (>=70% of domestic consumption) -- sourced from World Bank 1972 industrial report, see companion dataset wb1972industrial-isfahan-steel-and-idro-capital-goods; wool prices (net of high import duties) were roughly comparable to import prices"
IRN,Iran,1975,716000,metric tons,cotton_production_unginned,Cotton production (unginned),iran-textile-industry:pahlavi-era-textile-sector-overview,1975,PEAK year for Iranian cotton production; decline afterward attributed to government price intervention (low state purchase price paid to cotton farmers)
IRN,Iran,1980,1400000,spindles,spindles,Spindles,iran-textile-industry:pahlavi-era-textile-sector-overview,1980,Post-revolution; continued nominal capacity growth despite broader economic disruption
IRN,Iran,1980,35000,machines,weaving_and_knitting_machines,Weaving and knitting machines,iran-textile-industry:pahlavi-era-textile-sector-overview,1980,
IRN,Iran,1981,204000,metric tons,cotton_production_unginned,Cotton production (unginned),iran-textile-industry:pahlavi-era-textile-sector-overview,1981,"Sharp decline from the 1975 peak of 716,000 tons (~-71%), consistent with post-revolution/war-era agricultural disruption"
IRN,Iran,1993,1500000,spindles,spindles,Spindles,iran-textile-industry:pahlavi-era-textile-sector-overview,1993,
IRN,Iran,1993,40000,machines,weaving_and_knitting_machines,Weaving and knitting machines,iran-textile-industry:pahlavi-era-textile-sector-overview,1993,
IRN,Iran,1993,approximately 420000,workers,total_textile_sector_employment,Total textile-sector employment,iran-textile-industry:pahlavi-era-textile-sector-overview,1993,"~30% of Iran's entire industrial workforce at this date; of this, the more 'industrialized' (modern, non-artisanal) segment employed about 150,000"
IRN,Iran,1995,150000,metric tons annually,cotton_production_beaten_cotton_basis,Cotton production (beaten cotton basis),iran-textile-industry:pahlavi-era-textile-sector-overview,1995,"Different measurement basis (beaten/processed cotton) than the unginned-cotton figures used for 1975/1981/1997 -- not directly comparable, flagged as a units caveat"
IRN,Iran,1997,598000,metric tons,cotton_production,Cotton production,iran-textile-industry:pahlavi-era-textile-sector-overview,1997,Partial recovery from the 1980s trough
IRN,Iran,1997,35000,metric tons,cotton_exports,Cotton exports,iran-textile-industry:pahlavi-era-textile-sector-overview,1997,
IRN,Iran,2001,30,percent (year-over-year increase),textile_production_growth,Textile production growth,iran-textile-industry:pahlavi-era-textile-sector-overview,2001,
IRN,Iran,2001,220,million USD,textile_export_value,Textile export value,iran-textile-industry:pahlavi-era-textile-sector-overview,2001,+15% year-over-year
IRN,Iran,2002,45,percent (year-over-year increase),textile_export_value_growth,Textile export value growth,iran-textile-industry:pahlavi-era-textile-sector-overview,2002,
IRN,Iran,2002,3200,metric tons,cotton_exports,Cotton exports,iran-textile-industry:pahlavi-era-textile-sector-overview,2002,"Sharp decline from 35,000 tons in 1997"
