series,counterpart_country,year,value,unit,notes
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2000,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2001,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2002,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2003,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2004,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2005,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2006,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2007,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2008,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
WB_KNOMAD_MRI_aggregate_remittance_inflows,World (aggregate),2009,0,millions_current_USD,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
