year_or_period,metric,value,unit,cited_source
late 1920s,Ministry of War share of general budget expenditure,40,percent,"Bharier, p. 65"
late 1920s,Customs and tariff revenue,~100,million rials,"Karshenas 1990, p. 74"
1937,Customs and tariff revenue,362,million rials,"Karshenas 1990, p. 74"
1920-1925,Customs revenue as ratio of dutiable imports,~10,percent,"Bharier, table 4, p. 71"
1929,Customs revenue as ratio of dutiable imports,30,percent,"Bharier, table 4, p. 71"
late 1930s,Customs revenue as ratio of dutiable imports,~100,percent,"Bharier, table 4, p. 71"
1926-1941,Indirect taxation (incl. customs) share of central govt revenue,>70,percent,"Karshenas, p. 74, table 3.2"
1926-1941,Oil revenue share of total government revenue,10-16,percent,"Karshenas, p. 74, table 3.2"
1926-1941,Direct taxes share of total government revenue,~10,percent,"Karshenas, p. 74, table 3.2"
1928-1937,Real government expenditure growth rate,11,percent per annum,"Karshenas, p. 71"
late 1930s,Development-project share of total government expenditure,48,percent,"Moghadam, pp. 158-69"
late 1930s,Railways share of government expenditure,23,percent,"Moghadam, pp. 158-69"
late 1930s,Roads share of government expenditure,6,percent,"Moghadam, pp. 158-69"
late 1930s,Industry and mining share of government expenditure,19,percent,"Moghadam, pp. 158-69"
1930s,Wholesale price index inflation rate,9,percent per annum,"Encyclopaedia Iranica, Fiscal System v"
1949,First Seven-Year Plan total planned expenditure,21,billion rials (approx. $650m),"Encyclopaedia Iranica, Fiscal System v"
1949,First Seven-Year Plan domestic-financing share,68,percent,"Encyclopaedia Iranica, Fiscal System v"
1949,First Seven-Year Plan World Bank loan share (planned, not fully disbursed),32,percent,"Encyclopaedia Iranica, Fiscal System v"
1954,First Seven-Year Plan actual expenditure vs. planned,20,percent,"Motamen, p. 99"
1928-1951,Oil revenue share of total government revenue,15-16,percent,"Karshenas, p. 82, table 3.4"
1955-1957,Oil revenue share of total government revenue,45,percent,"Karshenas, p. 82, table 3.4"
1965-1967,Oil revenue share of total government revenue,51,percent,"Karshenas, p. 82, table 3.4"
1975-1977,Oil revenue share of total government revenue,>75,percent,"Karshenas, p. 82, table 3.4"
mid-1950s,Customs revenue as ratio of dutiable imports,~30,percent,"Bharier, p. 71"
mid-1960s,Effective tax rate on property/corporate income,1.5,percent,Kaldor
mid-1960s,Effective tax rate on wages and salaries,7-8,percent,Kaldor
late 1950s-early 1960s,Government absorption (investment+consumption) share of non-oil GDP,~20,percent,"Karshenas, 1990"
1970,Government absorption share of non-oil GDP,38,percent,"Karshenas, 1990"
1977,Government absorption share of non-oil GDP,58,percent,"Karshenas, 1990"
late 1950s,Government investment share of GDP,~7,percent,"Encyclopaedia Iranica, Fiscal System v"
1971-1972,Government investment share of GDP,12.5,percent,"Encyclopaedia Iranica, Fiscal System v"
1975-1977,Government investment share of GDP,18,percent,"Encyclopaedia Iranica, Fiscal System v"
1963,Education share of government current expenditure,21,percent,"Karshenas, 1990, pp. 111,169,188"
1970,Education share of government current expenditure,15,percent,"Karshenas, 1990, pp. 111,169,188"
1976,Education share of government current expenditure,12,percent,"Karshenas, 1990, pp. 111,169,188"
1963-1976,Health share of government current expenditure,~4,percent,"Karshenas, 1990"
1963,General administrative expenditure share,36,percent,"Karshenas, 1990"
1977,General administrative expenditure share,20,percent,"Karshenas, 1990"
1963,Military expenditure share of government current expenditure,28,percent,"Karshenas, 1990"
1977,Military expenditure share of government current expenditure,48,percent,"Karshenas, 1990"
1967,General income tax law marginal rate range,10-55,percent,"Bharier, pp. 74-78"
1971,Income tax as share of GNP,0.5-1,percent,"Encyclopaedia Iranica, Fiscal System v"
