year,metric,value,unit,source,confidence,notes
1993,domestic_municipal_water_withdrawal,4.3,billion_cubic_meters_per_year,"Fanack Water, 'Water Use in Iran' (water.fanack.com), citing Zekri (ed.) 2020 'Water Policies in MENA Countries'",medium,"Domestic sector water withdrawal only; excludes agricultural (dominant use, ~90%+ of total) and industrial."
2004,domestic_municipal_water_withdrawal,6.2,billion_cubic_meters_per_year,"Fanack Water, 'Water Use in Iran', citing Zekri (ed.) 2020",medium,""
2015,domestic_municipal_water_withdrawal,7.0,billion_cubic_meters_per_year,"Fanack Water, 'Water Use in Iran', citing Zekri (ed.) 2020",medium,"Cited elsewhere in the same source as the 2016 figure (7 BCM) -- treated as the same data point, year label varies slightly across citing summaries (2015 vs 2016)."
2016,total_water_withdrawal_all_sectors,100,billion_cubic_meters_per_year,"Fanack Water, 'Water Use in Iran', citing Zekri (ed.) 2020",medium,"Sector breakdown: domestic/municipal 7 BCM (7%), industrial 2 BCM (2%), agricultural 91 BCM (91%) -- illustrates that Iran's water-consumption story is overwhelmingly agricultural, household/domestic use is a small minority share."
2016,industrial_water_withdrawal,2.0,billion_cubic_meters_per_year,"Fanack Water, 'Water Use in Iran', citing Zekri (ed.) 2020",medium,""
2016,agricultural_water_withdrawal,91.0,billion_cubic_meters_per_year,"Fanack Water, 'Water Use in Iran', citing Zekri (ed.) 2020",medium,""
2041,domestic_municipal_water_demand_projected,11.9,billion_cubic_meters_per_year,"Fanack Water, 'Water Use in Iran', water-demand projection section",low,"PROJECTION, not an observed/actual figure -- do not treat as historical fact."
2020,national_avg_daily_per_capita_water_use,157,liters_per_person_per_day,"yekab.com ('Drinking water consumption'), a water-industry-adjacent secondary source -- not independently cross-checked against a primary SCI/Ministry of Energy figure",low,"Includes drinking, cooking, bathing, laundry, dishwashing, hygiene, cleaning, and miscellaneous household uses combined. Year approximate (source undated in the excerpt obtained); recorded at retrieval-adjacent year as a placeholder, treat as 'recent' rather than precisely dated."
2020,tehran_avg_daily_per_capita_water_use,300,liters_per_person_per_day,"CSIS 'Satellite Imagery Shows Tehran's Accelerating Water Crisis' and Fanack Water, both citing Zekri (ed.) 2020",medium,"Described as reaching 'as high as' 300 L/day in Tehran and other major cities, well above both the national household average and the planners' 130 L/day per-capita allotment target for Tehran specifically -- 70 percent of Tehran consumers reportedly exceed the planned allotment."
2020,tehran_planned_daily_per_capita_allotment,130,liters_per_person_per_day,"Circle of Blue / CSIS reporting on Tehran water planning",medium,"The OFFICIAL PLANNING TARGET, not actual consumption -- actual Tehran per-capita use (200-400 L/day range cited) substantially exceeds this in practice."
