country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,notes
IRN,Iran,1975,more than 66,percent,trade_total_iranian_imports_expected_rise,"Trade — Total Iranian imports, expected rise",frus-iran-1973-76-oil-boom-era,coming year (from March 1974),"Following the March 19, 1974 anti-inflationary import liberalization measures. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 60 (March 1974), PDF p.235]"
IRN,Iran,1983,40,billion USD,trade_iran_s_targeted_annual_trade_volume_by_1983,Trade — Iran's targeted annual trade volume by 1983,frus-iran-1973-76-oil-boom-era,1983 (target),"Per Ansary. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303]"
IRN,Iran,1974,10 billion (1974) vs 4.3 billion (prior year),billion USD,trade_iran_imports_this_year_vs_last_year,"Trade — Iran imports, this year vs last year",frus-iran-1973-76-oil-boom-era,1974 vs prior year,"Per Ansary. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.304]"
IRN,Iran,1980,12.5,billion USD,trade_target_total_us_iran_trade_excluding_oil_and_military_goods,"Trade — Target total US-Iran trade, excluding oil and military goods",frus-iran-1973-76-oil-boom-era,next five years (from March 1975),"Protocol target for the next five years. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 108 (March 1975), PDF p.364]"
IRN,Iran,1976,"15 million (c.1930) -> 10 billion (1975) -> 14.5 billion (1976, projected)",USD,trade_iran_total_imports_historical_comparison_per_ansari,"Trade — Iran total imports, historical comparison per Ansari",frus-iran-1973-76-oil-boom-era,45 years before 1975 vs 1975 vs 1976,"As stated by Ansari to illustrate the scale of change. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.367]"
IRN,Iran,1983,80 million tons (1983 target) vs 4 million tons (1975),million tons,trade_planned_port_handling_capacity_by_1983_vs_1975,Trade — Planned port-handling capacity by 1983 vs 1975,frus-iran-1973-76-oil-boom-era,1983 (target),"Iran's four major ports, per Ansari. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.367]"
IRN,Iran,1980,about 1 billion (current) -> 4 billion (1980 projection),billion USD,trade_iran_s_non_oil_exports_growth_projection,"Trade — Iran's non-oil exports, growth projection",frus-iran-1973-76-oil-boom-era,current vs projected 1980,"Still less than one-fifth of then-current oil income. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.400]"
IRN,Iran,1980,some 25,billion USD,trade_us_iran_non_oil_trade_five_year_projection,"Trade — US-Iran non-oil trade, five-year projection",frus-iran-1973-76-oil-boom-era,"next five years (from 1975), revised up from earlier $15bn target","Revised upward from the $15 billion target mentioned in the earlier Kissinger/Ansari communiqué (see Documents 108-109). [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.401]"
IRN,Iran,1976,15 billion (established earlier) -> 25 billion (by March 1976),billion USD,trade_us_iran_joint_commission_trade_target_growth,"Trade — US-Iran Joint Commission trade target, growth",frus-iran-1973-76-oil-boom-era,established earlier vs March 1976,"Per Ansary. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 169 (March 29 1976), PDF p.556]"
IRN,Iran,1976,26,billion USD,trade_us_iran_joint_commission_trade_target_further_growth,"Trade — US-Iran Joint Commission trade target, further growth",frus-iran-1973-76-oil-boom-era,"2 years growth, by Aug 1976","Up from the $15 billion target set the prior year (per Kissinger's remarks). [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 182 (Aug 7 1976), PDF p.587]"
IRN,Iran,1976,nearly 20,percent,trade_us_oil_imports_expected_1976_rise,"Trade — US oil imports, expected 1976 rise",frus-iran-1973-76-oil-boom-era,1976 (expected),"Cited by the Shah. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 192 (Nov 1 1976), PDF p.616]"
IRQ,Iraq,1973,90,percent,trade_oil_share_of_iraq_s_export_earnings,Trade — Oil share of Iraq's export earnings,frus-iran-1973-76-oil-boom-era,as of 1973,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 208 (March 31 1973), PDF p.651]"
IRQ,Iraq,1973,30,percent,trade_iraq_imports_planned_increase,"Trade — Iraq imports, planned increase",frus-iran-1973-76-oil-boom-era,this year (1973),"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 211 (April 10 1973), PDF p.659]"
IRQ,Iraq,1973,122,million USD,trade_brown_and_root_construction_contract_awarded_by_iraq,Trade — Brown and Root construction contract awarded by Iraq,frus-iran-1973-76-oil-boom-era,as of late 1973,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 239 (Nov 27 1973), PDF p.715]"
IRQ,Iraq,1973,about 60,million USD,trade_boeing_commercial_aircraft_purchase_contract_with_iraq,Trade — Boeing commercial aircraft purchase contract with Iraq,frus-iran-1973-76-oil-boom-era,as of late 1973,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 239 (Nov 27 1973), PDF p.715]"
IRQ,Iraq,1973,25 percent (1971) -> 56 percent (1972) -> 85 percent (1973),percent,trade_petroleum_share_of_iraq_s_total_export_revenues,Trade — Petroleum share of Iraq's total export revenues,frus-iran-1973-76-oil-boom-era,1971 vs 1972 vs 1973,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.923]"
IRQ,Iraq,1975,20 million (1965) -> 309.7 million (1975),million USD,trade_value_of_american_exports_to_iraq,Trade — Value of American exports to Iraq,frus-iran-1973-76-oil-boom-era,1965 vs 1975,"See also Table 4 in the same source for the full 1972-1975 series. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.936]"
IRQ,Iraq,1972,23.3,million USD,trade_american_iraqi_trade_table_4_value_of_us_exports_to_iraq,Trade — American-Iraqi trade (Table 4) -- Value of US exports to Iraq,frus-iran-1973-76-oil-boom-era,,"Table 4, source: Dept of State Annual Economic Trends Report for Iraq, 18 March 1976. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.936]"
IRQ,Iraq,1972,9,million USD,trade_american_iraqi_trade_table_4_value_of_us_imports_from_iraq,Trade — American-Iraqi trade (Table 4) -- Value of US imports from Iraq,frus-iran-1973-76-oil-boom-era,,"Table 4, source: Dept of State Annual Economic Trends Report for Iraq, 18 March 1976. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.936]"
IRQ,Iraq,1973,55.9,million USD,trade_american_iraqi_trade_table_4_value_of_us_exports_to_iraq,Trade — American-Iraqi trade (Table 4) -- Value of US exports to Iraq,frus-iran-1973-76-oil-boom-era,,"Table 4, source: Dept of State Annual Economic Trends Report for Iraq, 18 March 1976. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.936]"
IRQ,Iraq,1973,15.8,million USD,trade_american_iraqi_trade_table_4_value_of_us_imports_from_iraq,Trade — American-Iraqi trade (Table 4) -- Value of US imports from Iraq,frus-iran-1973-76-oil-boom-era,,"Table 4, source: Dept of State Annual Economic Trends Report for Iraq, 18 March 1976. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.936]"
IRQ,Iraq,1974,284.7,million USD,trade_american_iraqi_trade_table_4_value_of_us_exports_to_iraq,Trade — American-Iraqi trade (Table 4) -- Value of US exports to Iraq,frus-iran-1973-76-oil-boom-era,,"Table 4, source: Dept of State Annual Economic Trends Report for Iraq, 18 March 1976. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.936]"
IRQ,Iraq,1974,1,million USD,trade_american_iraqi_trade_table_4_value_of_us_imports_from_iraq,Trade — American-Iraqi trade (Table 4) -- Value of US imports from Iraq,frus-iran-1973-76-oil-boom-era,,"Table 4, source: Dept of State Annual Economic Trends Report for Iraq, 18 March 1976. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.936]"
IRQ,Iraq,1975,309.7,million USD,trade_american_iraqi_trade_table_4_value_of_us_exports_to_iraq,Trade — American-Iraqi trade (Table 4) -- Value of US exports to Iraq,frus-iran-1973-76-oil-boom-era,,"Table 4, source: Dept of State Annual Economic Trends Report for Iraq, 18 March 1976. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.936]"
IRQ,Iraq,1975,22.6,million USD,trade_american_iraqi_trade_table_4_value_of_us_imports_from_iraq,Trade — American-Iraqi trade (Table 4) -- Value of US imports from Iraq,frus-iran-1973-76-oil-boom-era,,"Table 4, source: Dept of State Annual Economic Trends Report for Iraq, 18 March 1976. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.936]"
IRQ,Iraq,1975,approximately 1,billion USD,trade_west_german_exports_to_iraq,Trade — West German exports to Iraq,frus-iran-1973-76-oil-boom-era,,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 321 (Nov 30 1976), PDF p.950]"
IRQ,Iraq,1975,700,million USD,trade_japan_exports_to_iraq,Trade — Japan exports to Iraq,frus-iran-1973-76-oil-boom-era,,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 321 (Nov 30 1976), PDF p.950]"
IRQ,Iraq,1975,300-400 million each,million USD,trade_uk_us_and_france_exports_to_iraq_each_comparator_range,"Trade — UK, US, and France exports to Iraq (each, comparator range)",frus-iran-1973-76-oil-boom-era,,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 321 (Nov 30 1976), PDF p.950]"
