iranian_quarter,western_quarter,oil_export_kbd,oil_production_kbd,note
1379q1,2000q2,2501,3637,
1379q2,2000q3,2627,3739,
1379q3,2000q4,2718,3893,
1379q4,2001q1,2463,3676,
1380q1,2001q2,2381,3560,
1380q2,2001q3,2356,3514,
1380q3,2001q4,2213,3436,
1380q4,2002q1,2026,3253,
1381q1,2002q2,2063,3226,
1381q2,2002q3,2191,3248,
1381q3,2002q4,2246,3259,
1381q4,2003q1,2401,3489,
1382q1,2003q2,2581,3707,
1382q2,2003q3,2656,3802,
1382q3,2003q4,2621,3780,
1382q4,2004q1,2497,3655,
1383q1,2004q2,2422,3658,
1383q2,2004q3,2701,3579,
1383q3,2004q4,2846,4064,
1383q4,2005q1,2702,4038,
1384q1,2005q2,2829,4104,
1384q2,2005q3,2764,4142,
1384q3,2005q4,2631,4082,
1384q4,2006q1,2545,4098,
1385q1,2006q2,2570,4058,
1385q2,2006q3,2583,4069,
1385q3,2006q4,2382,4072,
1385q4,2007q1,2403,4005,
1386q1,2007q2,2366,3952,
1386q2,2007q3,2506,4039,
1386q3,2007q4,2566,4118,
1386q4,2008q1,2540,4125,
1387q1,2008q2,2372,4120,
1387q2,2008q3,2531,4095,
1387q3,2008q4,2314,3942,
1387q4,2009q1,2010,3614,
1388q1,2009q2,2045,3570,
1388q2,2009q3,2011,3530,
1388q3,2009q4,1984,3549,
1388q4,2010q1,2055,3579,
1389q1,2010q2,1997,3522,
1389q2,2010q3,2006,3535,
1389q3,2010q4,2009,3542,
1389q4,2011q1,1995,3545,
1390q1,2011q2,2061,3574,
1390q2,2011q3,2083,3573,
1390q3,2011q4,2101,3601,
1390q4,2012q1,2183,3730,
1391q1*,2012q2*,1900,3732,"1391 (2012q2-2013q1) figures published as yearly average, not true quarterly"
1391q2*,2012q3*,1900,3732,"1391 (2012q2-2013q1) figures published as yearly average, not true quarterly"
1391q3*,2012q4*,1900,3732,"1391 (2012q2-2013q1) figures published as yearly average, not true quarterly"
1391q4*,2013q1*,1900,3732,"1391 (2012q2-2013q1) figures published as yearly average, not true quarterly"
1392q1,2013q2,1808,3711,
1392q2,2013q3,1804,3671,
1392q3,2013q4,1547,3266,
1392q4,2014q1,1570,3261,
1393q1,2014q2,1551,3215,
1393q2,2014q3,1372,3013,
1393q3,2014q4,1386,3005,
1393q4,2015q1,1427,3015,
1394q1,2015q2,1422,3093,
1394q2,2015q3,1533,3161,
1394q3,2015q4,1561,3299,
1394q4,2016q1,1787,3379,
1395q1,2016q2,2008,3544,
1395q2,2016q3,2063,3639,
Source: Central Bank of Iran ,,,,
Data published originally for Iranian calendar,,,,
* Numbers for 1391 Iranian year (2012q2 to 2013q1) have been published as the average of the year,,,,"1391 (2012q2-2013q1) figures published as yearly average, not true quarterly"
