product_fa,year_sh,value_mln_liters,note
Total,1370,7436,total incl. 194mn liters motor oils in 1370 not itemized below
Total,1375,4395,
Total,1380,2840,
Total,1381,3803,
Total,1382,5518,
Total,1383,8359,
Total,1384,9162,
Total,1385,11897,
Motor spirit,1370,635,
Motor spirit,1375,988,
Motor spirit,1380,2840,
Motor spirit,1381,3803,
Motor spirit,1382,5515,
Motor spirit,1383,8297,
Motor spirit,1384,9056,
Motor spirit,1385,10038,
Burning oil,1370,2309,
Burning oil,1375,1976,
Burning oil,1380,0,
Burning oil,1381,0,
Burning oil,1382,0,
Burning oil,1383,0,
Burning oil,1384,0,
Burning oil,1385,0,
Gas oil,1370,4298,
Gas oil,1375,1427,
Gas oil,1380,0,
Gas oil,1381,0,
Gas oil,1382,0,
Gas oil,1383,62,
Gas oil,1384,106,
Gas oil,1385,1858,
Aviation spirit,1370,0,
Aviation spirit,1375,4,
Aviation spirit,1380,0,
Aviation spirit,1381,0,
Aviation spirit,1382,3,
Aviation spirit,1383,0,
Aviation spirit,1384,0,
Aviation spirit,1385,2,
