year_sh,row_category,row_category_fa,fuel_type,fuel_type_fa,value_million_boe,note
1386,production,تولید,oil_products,نفت خام و فرآورده‌های نفتی,1629.3,
1386,production,تولید,natural_gas,گازطبیعی,752.1,
1386,production,تولید,coal,زغال‌سنگ,8.0,
1386,production,تولید,combustible_renewables,منابع تجدیدپذیر قابل احتراق,5.6,
1386,production,تولید,hydro,انرژی آبی,10.6,
1386,production,تولید,solar_wind,انرژی خورشیدی و بادی,0.08,
1386,production,تولید,total_energy,کل انرژی,2405.6,
1386,imports,واردات,oil_products,نفت خام و فرآورده‌های نفتی,73.9,excludes MTBE imports (no production/import figures available)
1386,imports,واردات,natural_gas,گازطبیعی,38.9,
1386,imports,واردات,coal,زغال‌سنگ,4.7,
1386,imports,واردات,electricity,کل برق,1.1,
1386,imports,واردات,total_energy,کل انرژی,118.5,
1386,exports,صادرات,oil_products,نفت خام و فرآورده‌های نفتی,-1082.1,
1386,exports,صادرات,natural_gas,گازطبیعی,-35.3,includes exports of NGL and gas condensates
1386,exports,صادرات,coal,زغال‌سنگ,-0.1,
1386,exports,صادرات,electricity,کل برق,-1.5,
1386,exports,صادرات,total_energy,کل انرژی,-1119.0,
1386,international_marine_bunkers,سوخت کشتی‌های بین‌المللی,oil_products,نفت خام و فرآورده‌های نفتی,-7.9,
1386,international_marine_bunkers,سوخت کشتی‌های بین‌المللی,total_energy,کل انرژی,-7.9,
1386,international_aviation_bunkers,سوخت هواپیماهای بین‌المللی,oil_products,نفت خام و فرآورده‌های نفتی,-7.5,
1386,international_aviation_bunkers,سوخت هواپیماهای بین‌المللی,total_energy,کل انرژی,-7.5,
1386,stock_change_and_statistical_discrepancy,تغییر در ذخایر و اختلاف آماری,oil_products,نفت خام و فرآورده‌های نفتی,41.2,
1386,stock_change_and_statistical_discrepancy,تغییر در ذخایر و اختلاف آماری,coal,زغال‌سنگ,-1.5,
1386,stock_change_and_statistical_discrepancy,تغییر در ذخایر و اختلاف آماری,total_energy,کل انرژی,39.7,
1386,total_primary_energy_supply,عرضه کل انرژی اولیه (TPES),oil_products,نفت خام و فرآورده‌های نفتی,646.9,
1386,total_primary_energy_supply,عرضه کل انرژی اولیه (TPES),natural_gas,گازطبیعی,755.7,
1386,total_primary_energy_supply,عرضه کل انرژی اولیه (TPES),coal,زغال‌سنگ,11.1,
1386,total_primary_energy_supply,عرضه کل انرژی اولیه (TPES),combustible_renewables,منابع تجدیدپذیر قابل احتراق,5.6,
1386,total_primary_energy_supply,عرضه کل انرژی اولیه (TPES),hydro,انرژی آبی,10.6,
1386,total_primary_energy_supply,عرضه کل انرژی اولیه (TPES),solar_wind,انرژی خورشیدی و بادی,0.08,
1386,total_primary_energy_supply,عرضه کل انرژی اولیه (TPES),electricity,کل برق,-0.4,
1386,total_primary_energy_supply,عرضه کل انرژی اولیه (TPES),total_energy,کل انرژی,1429.5,
1386,transfers,انتقالات,oil_products,نفت خام و فرآورده‌های نفتی,-12.1,
1386,transfers,انتقالات,total_energy,کل انرژی,-12.1,
1386,oil_refineries,پالایشگاه‌های نفت,oil_products,نفت خام و فرآورده‌های نفتی,-17.6,
1386,oil_refineries,پالایشگاه‌های نفت,total_energy,کل انرژی,-17.6,
1386,power_plants,نیروگاه‌ها,oil_products,نفت خام و فرآورده‌های نفتی,-85.8,
1386,power_plants,نیروگاه‌ها,natural_gas,گازطبیعی,-232.9,
1386,power_plants,نیروگاه‌ها,coal,زغال‌سنگ,-1.8,
1386,power_plants,نیروگاه‌ها,hydro,انرژی آبی,-10.6,
1386,power_plants,نیروگاه‌ها,solar_wind,انرژی خورشیدی و بادی,-0.08,
1386,power_plants,نیروگاه‌ها,electricity,کل برق,119.9,
1386,power_plants,نیروگاه‌ها,total_energy,کل انرژی,-211.3,
1386,coking_plants,واحدهای کک‌سازی,coal,زغال‌سنگ,-1.6,
1386,coking_plants,واحدهای کک‌سازی,total_energy,کل انرژی,-1.6,
1386,blast_furnaces,واحدهای کوره بلند,coal,زغال‌سنگ,-1.8,
1386,blast_furnaces,واحدهای کوره بلند,total_energy,کل انرژی,-1.8,
1386,energy_sector_own_use_and_td_losses,مصارف بخش انرژی و تلفات انتقال و توزیع,oil_products,نفت خام و فرآورده‌های نفتی,-22.4,
1386,energy_sector_own_use_and_td_losses,مصارف بخش انرژی و تلفات انتقال و توزیع,natural_gas,گازطبیعی,-51.8,"includes natural gas consumed at refineries, gas facilities, pressure-boosting stations and gas-lift diesel"
1386,energy_sector_own_use_and_td_losses,مصارف بخش انرژی و تلفات انتقال و توزیع,coal,زغال‌سنگ,-1.2,
1386,energy_sector_own_use_and_td_losses,مصارف بخش انرژی و تلفات انتقال و توزیع,electricity,کل برق,-28.7,
1386,energy_sector_own_use_and_td_losses,مصارف بخش انرژی و تلفات انتقال و توزیع,total_energy,کل انرژی,-104.1,
1386,total_final_consumption,کل مصرف نهایی (TFC),oil_products,نفت خام و فرآورده‌های نفتی,508.9,
1386,total_final_consumption,کل مصرف نهایی (TFC),natural_gas,گازطبیعی,471.0,
1386,total_final_consumption,کل مصرف نهایی (TFC),coal,زغال‌سنگ,4.7,
1386,total_final_consumption,کل مصرف نهایی (TFC),combustible_renewables,منابع تجدیدپذیر قابل احتراق,5.6,
1386,total_final_consumption,کل مصرف نهایی (TFC),electricity,کل برق,90.9,
1386,total_final_consumption,کل مصرف نهایی (TFC),total_energy,کل انرژی,1081.1,
1386,residential_public_commercial,خانگی، عمومی و تجاری,oil_products,نفت خام و فرآورده‌های نفتی,92.0,
1386,residential_public_commercial,خانگی، عمومی و تجاری,natural_gas,گازطبیعی,289.0,
1386,residential_public_commercial,خانگی، عمومی و تجاری,coal,زغال‌سنگ,0.07,
1386,residential_public_commercial,خانگی، عمومی و تجاری,combustible_renewables,منابع تجدیدپذیر قابل احتراق,5.6,
1386,residential_public_commercial,خانگی، عمومی و تجاری,electricity,کل برق,47.3,
1386,residential_public_commercial,خانگی، عمومی و تجاری,total_energy,کل انرژی,433.9,
