year,metric,value,unit,source,notes
1966,households_per_housing_unit_national,1.29,ratio,"WebSearch synthesis of Encyclopaedia Iranica 'HOUSING IN IRAN' article (accessed via search-engine index snippet -- direct page fetch blocked, see failures)","1966 census figure -- a ratio above 1.0 indicates housing-unit scarcity relative to households (some units shared by multiple households)"
1966,households_per_housing_unit_urban,1.51,ratio,"Same source as above","Urban overcrowding was substantially worse than the national average"
1966,households_per_housing_unit_rural,1.18,ratio,"Same source as above",""
1968,fourth_plan_housing_units_built,300000,units,"Same source as above (Iranica), cross-confirmed independently by nationsencyclopedia.com 'Housing - Iran' page (directly fetchable, not Cloudflare-blocked)","Fourth Development Plan period 1968-1973 (solidly Pahlavi-era, under the Plan Organisation) -- 'nearly 300,000' units built"
1968,fourth_plan_density_start_persons_per_dwelling,7.7,persons,"Same two sources as above row","Start-of-Fourth-Plan density; contrast with end-of-plan figure below"
1973,fourth_plan_density_end_persons_per_dwelling,8.5,persons,"Same two sources as above row","Density INCREASED despite 300,000 new units built, because ~120,000 new families were added to the urban population over the same period -- construction did not keep pace with urban in-migration, a classic Pahlavi-era urbanization-outpacing-housing-supply pattern"
1968,fourth_plan_urban_housing_deficit_start,721000,units,"Same two sources as above row","Start-of-Fourth-Plan national urban housing deficit"
1973,fourth_plan_urban_housing_deficit_end,1100000,units,"Same two sources as above row","End-of-Fourth-Plan deficit -- grew by ~52% over the plan period despite the construction effort, reinforcing the density-increase finding above"
1986,housing_units_built_1980_to_1983_share_of_stock,21.3,percent,"Encyclopaedia Iranica 'HOUSING IN IRAN' via WebSearch synthesis","'Some 1.76 million housing units (more than 21.3 percent of the total stock of housing units in the country) were built in the years 1980-83' per the 1986 census -- shows housing construction accelerated rather than collapsed in the early post-revolution/early Iran-Iraq-War years, a genuinely counter-intuitive finding worth flagging for chart-builders"
1986,housing_units_built_1980_to_1983_absolute,1760000,units,"Same source as above row",""
1986,urban_dwellings_built_post_revolution_share,50,percent,"Same source as above row","'More than half of all urban dwellings in the entire country had been built after the revolution' by 1986, per Housing Ministry surveys cited in the Iranica article -- '2.3 million new units', predominantly PRIVATELY built"
1986,urban_dwellings_built_post_revolution_absolute,2300000,units,"Same source as above row",""
1981,annual_building_construction_change,-21,percent,"nationsencyclopedia.com 'Housing - Iran'","1981/82 (Iranian calendar year) -- construction of all buildings (not housing-specific) dropped 21% year-on-year, reflecting the acute post-revolution/early-war economic disruption -- contrast with the 1980-83 housing-specific growth figures above; the two are not necessarily contradictory since 'all buildings' construction value/permits and 'housing units completed' can diverge, especially amid inflation and shifting private-sector activity patterns; both recorded as independently sourced, not reconciled"
1982,annual_building_construction_change,-24,percent,"nationsencyclopedia.com 'Housing - Iran'","1982/83 (Iranian calendar year)"
1986,housing_material_brick_iron_beams_share,43,percent,"nationsencyclopedia.com 'Housing - Iran', citing 1986 census housing-material-composition data","Most common construction material type nationally by this point"
1986,housing_material_adobe_wood_share,19,percent,"nationsencyclopedia.com 'Housing - Iran'",""
1986,housing_material_brick_wooden_beams_share,16,percent,"nationsencyclopedia.com 'Housing - Iran'",""
1986,housing_material_adobe_mud_share,10,percent,"nationsencyclopedia.com 'Housing - Iran'","Traditional/poorest-quality construction type, still 10% of national housing stock as late as 1986"
1986,housing_material_cement_block_share,5,percent,"nationsencyclopedia.com 'Housing - Iran'",""
1986,housing_material_iron_cement_skeleton_share,3,percent,"nationsencyclopedia.com 'Housing - Iran'","Most modern/highest-quality construction type, still a small minority share in 1986"
1986,housing_access_electricity_share,84,percent,"nationsencyclopedia.com 'Housing - Iran'","Share of dwellings with access, 1986 census"
1986,housing_access_piped_water_share,75,percent,"nationsencyclopedia.com 'Housing - Iran'",""
1986,housing_access_water_toilet_share,95,percent,"nationsencyclopedia.com 'Housing - Iran'",""
1986,housing_access_kitchen_share,54,percent,"nationsencyclopedia.com 'Housing - Iran'","A dedicated kitchen was still absent from nearly half of Iranian dwellings as of 1986 -- a striking amenity gap"
1986,housing_access_bath_share,47,percent,"nationsencyclopedia.com 'Housing - Iran'",""
1996,households_per_housing_unit_national,1.14,ratio,"Encyclopaedia Iranica 'HOUSING IN IRAN' via WebSearch synthesis","Improvement from the 1966 figure of 1.29 -- confirms genuine long-run easing of housing scarcity over the 30-year window despite the disruptions of revolution and war"
1996,households_per_housing_unit_urban,1.15,ratio,"Same source as above row","Urban/rural gap had nearly closed by 1996 (1.15 vs 1.13), compared to a large 1.51 vs 1.18 gap in 1966"
1996,households_per_housing_unit_rural,1.13,ratio,"Same source as above row",""
1996,housing_units_annual_growth_rate_1966_to_1996,3.44,percent,"Same source as above row","Compound annual growth rate of the housing-unit stock over the full 1966-1996 window"
1996,households_annual_growth_rate_1966_to_1996,3.02,percent,"Same source as above row","Slightly slower than the housing-unit growth rate above, consistent with the easing households-per-unit ratio"
1996,private_households_in_permanent_dwellings,12349003,households,"nationsencyclopedia.com 'Housing - Iran', citing 1996 census","'About 38,940 households classified as unsettled (homeless or nomadic)' in the same census, per the same source -- recorded as a distinct row below"
1996,unsettled_households,38940,households,"nationsencyclopedia.com 'Housing - Iran'","Homeless or nomadic households per the 1996 census classification"
2000,second_plan_housing_target,2500000,units,"nationsencyclopedia.com 'Housing - Iran'","Second Five-Year Development Plan (1995-2000, Islamic-Republic-era) GOVERNMENT TARGET for housing-unit construction -- recorded as a target/goal, not a confirmed completion figure; whether this target was met was not established in this pass"
