country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed,notes
IRN,Iran,1962,170000000,rials,iran_air_startup_capital,iran_air_startup_capital,iran-aviation-history:iranica-aviation-history,false,[source: Encyclopaedia Iranica AVIATION (Atrvash 2010)]
IRN,Iran,1962,2244224.4202,current US$ (computed),iran_air_startup_capital.USD_NOMINAL,"iran_air_startup_capital (computed, nominal US$)",iran-aviation-history:iranica-aviation-history,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
IRN,Iran,1962,9901620.8357,constant 2015 US$ (computed),iran_air_startup_capital.USD_REAL_2015,"iran_air_startup_capital (computed, real 2015 US$)",iran-aviation-history:iranica-aviation-history,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
IRN,Iran,1962,700,persons,iran_air_workforce,iran_air_workforce,iran-aviation-history:iranica-aviation-history,,[source: Encyclopaedia Iranica AVIATION (Atrvash 2010)]
IRN,Iran,1978,12000,persons,iran_air_workforce_end_khademi_era,iran_air_workforce_end_khademi_era,iran-aviation-history:iranica-aviation-history,,"[source: Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 'grew from 700 to over 12,000 skilled personnel' over the 1962-1978/79 Khademi tenure, upper bound recorded]"
IRN,Iran,1958,20,aircraft,iranian_airways_fleet_peak_dc3,iranian_airways_fleet_peak_dc3,iran-aviation-history:iranica-aviation-history,,[source: Encyclopaedia Iranica AVIATION (Atrvash 2010)]
IRN,Iran,1958,14,destinations,iranian_airways_destinations_domestic,iranian_airways_destinations_domestic,iran-aviation-history:iranica-aviation-history,,[source: Encyclopaedia Iranica AVIATION (Atrvash 2010)]
IRN,Iran,1958,10,destinations,iranian_airways_destinations_regional,iranian_airways_destinations_regional,iran-aviation-history:iranica-aviation-history,,[source: Encyclopaedia Iranica AVIATION (Atrvash 2010)]
IRN,Iran,1952,27,persons,mehrabad_accident_deaths,mehrabad_accident_deaths,iran-aviation-history:iranica-aviation-history,,[source: Encyclopaedia Iranica AVIATION (Atrvash 2010) -- Iranian Airways accident]
IRN,Iran,1978,35,aircraft,iran_air_fleet_size_all_jet,iran_air_fleet_size_all_jet,iran-aviation-history:iranica-aviation-history,,"[source: Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 29 Boeing + 6 Airbus, approximate late-1970s timing (exact year not stated in source)]"
IRN,Iran,1978,5000000,persons,iran_air_annual_passengers_approx,iran_air_annual_passengers_approx,iran-aviation-history:iranica-aviation-history,,"[source: Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 'close to five million passengers a year', stated as contemporaneous with 35-jet fleet size; exact year not given in source, placed at approx. 1978]"
IRN,Iran,1980,129,persons,first_post_revolution_fatal_accident_deaths,first_post_revolution_fatal_accident_deaths,iran-aviation-history:iranica-aviation-history,,[source: Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 21 January 1980]
IRN,Iran,1988,290,persons,iran_air_flight_655_shootdown_deaths,iran_air_flight_655_shootdown_deaths,iran-aviation-history:iranica-aviation-history,,[source: Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 3 July 1988]
IRN,Iran,1988,14,count,new_airlines_founded_after_ceasefire,new_airlines_founded_after_ceasefire,iran-aviation-history:iranica-aviation-history,,"[source: Encyclopaedia Iranica AVIATION (Atrvash 2010) -- following 1988 Iran-Iraq War ceasefire, minimum license investment 2 billion rial]"
