year_ending_mar_20,plan_org,other,total_service,total_amortization,total_interest_and_amortization_payments_to_ibrd,unit
1960/1961,28.2,61.1,89.4,77.5,25.3,million US dollars
1961/1962,34.2,33.3,67.6,54.5,31.1,million US dollars
1962/1963,24.7,28.4,53.1,41.6,19.2,million US dollars
1963/1964,18.5,25.3,43.9,33.5,9.2,million US dollars
1964/1965,17.2,23.4,40.6,31.3,8.6,million US dollars
1965/1966,15.7,19.9,35.6,27.3,7.6,million US dollars
1966/1967,15.5,9.3,24.8,17.4,7.6,million US dollars
1967/1968,15.3,7.7,22.9,16.3,7.6,million US dollars
1968/1969,15.0,6.9,21.9,16.0,7.6,million US dollars
1969/1970,14.8,5.5,20.3,15.2,7.6,million US dollars
1970/1971,14.6,5.5,20.0,15.6,7.6,million US dollars
1971/1972,11.7,5.5,17.2,13.5,7.6,million US dollars
1972/1973,9.1,5.5,14.5,11.5,7.6,million US dollars
1973/1974,9.1,5.5,14.5,12.0,7.6,million US dollars
