event_date,event_type,description,entity_names,source
1979-05-28,nationalization_decree,"Revolutionary Council nationalizes private commercial banks along with special banks, insurance companies, and many other industrial firms",all private banks except Bank Iran o Rus,"Encyclopaedia Iranica BANKING i (Basseer), citing Bank Markazi Iran Annual Report 1980 (publ. 1982) pp.81-82"
1979-06,news_report,"Contemporaneous Western press reports the takeover as occurring around June 8-9 1979 (minor date variance from the Iranica-cited May 28 decree date, likely reflecting the gap between decree issuance and public/international reporting)",all private banks,"Washington Post archive headline 'Iran Announces Takeover of All Private Banks' (dated in archive index as 1979-06-09); Iran1400.org gives June 8 1979"
1979,pre_nationalization_baseline,"36 banks (excluding Bank Markazi) operating in Iran immediately before nationalization; 28 were privately owned (13 of which were joint ventures with foreign banks) and accounted for nearly half of banking operations",36 banks total / 28 private,"Encyclopaedia Iranica BANKING i; Wikipedia Banking and insurance in Iran"
1979,execution,"Governor of Bank Markazi (central bank) executed following the revolution",Bank Markazi governor,"Encyclopaedia Iranica BANKING i (Basseer), concluding paragraph"
1979-10,consolidation_plan_approved,"Plan for merging/consolidating nationalized banks with similar activities approved",n/a,"Encyclopaedia Iranica BANKING i"
1979-10,new_bank_created,"Bank Ma'dan va San'at (Bank of Industry and Mining) created by merger of multiple nationalized banks",Bank Ma'dan va San'at,"Encyclopaedia Iranica BANKING i"
1979-10,new_bank_created,"Bank Maskan (Housing Bank) created by merger of multiple nationalized banks",Bank Maskan,"Encyclopaedia Iranica BANKING i"
1979-10,new_bank_created,"Bank Keshavarzi (Agricultural Bank) created by merger of multiple nationalized banks",Bank Keshavarzi,"Encyclopaedia Iranica BANKING i"
1979,new_bank_created,"Bank Tejarat (Mercantile Bank) formed via merger of eleven private Iranian, foreign, and multinational banks",Bank Tejarat,"Iran1400.org; Encyclopaedia Iranica BANKING i"
1979,new_bank_created,"Bank Mellat (People's Bank) formed via merger of ten banks",Bank Mellat,"Iran1400.org; Encyclopaedia Iranica BANKING i"
1979,continued_operation,"Bank Melli, Bank Sepah, Bank Refah-e Kargaran, and Bank Saderat continued operating under government control (not merged into the five new consolidated banks)",Bank Melli / Bank Sepah / Bank Refah-e Kargaran / Bank Saderat,"Encyclopaedia Iranica BANKING i, citing Bank Markazi Iran Annual Report 1980"
1979,exception,"Bank Iran o Rus (Iran-Soviet joint bank) was the sole bank NOT nationalized in 1979",Bank Iran o Rus,"Encyclopaedia Iranica BANKING i"
1982,post_consolidation_state,"By 1982 the consolidation had reduced the banking system to nine banks (six commercial and three specialized) and 6,581 branches, down from 36 banks/8,275 branches in 1977",9 banks / 6,581 branches,"Wikipedia Banking and insurance in Iran, citing standard secondary compilation"
1980,scale_of_takeover,"28 banks, 16 deposit-and-housing-loan companies, and 2 investment companies were taken over as part of the 1979-80 nationalization wave",28 banks + 16 finance cos + 2 investment cos,"Parstimes.com 'A Review of History of Banking System in Iran'"
1983-05-30,islamic_banking_law,"Majlis approves the Law for Usury-Free (Islamic) Banking, formally launching interest-free banking practice",n/a,"Encyclopaedia Iranica BANKING i; Parstimes.com"
1984-03,islamic_banking_implementation,"Interest-free banking code fully implemented across the nationalized banking system",n/a,"Parstimes.com"
