year,metric,value,unit,source
1920,government_total_expenditure,228,million_rials,"Encyclopaedia Iranica BEHDARI (Faghih 1989), citing Sima-ye behdasht wa darman p.422"
1920,government_health_expenditure,0.9,million_rials,"Encyclopaedia Iranica BEHDARI (Faghih 1989)"
1920,oil_revenue,32,million_rials,"Encyclopaedia Iranica BEHDARI (Faghih 1989)"
1948,government_health_expenditure,1500,million_rials,"Encyclopaedia Iranica BEHDARI (Faghih 1989) -- start of period cited as Rls 1.5 billion"
1974,government_health_expenditure,116500,million_rials,"Encyclopaedia Iranica BEHDARI (Faghih 1989) -- end of period cited as Rls 116.5 billion ($166 million)"
1974,government_total_expenditure,1089000,million_rials,"Encyclopaedia Iranica BEHDARI (Faghih 1989) -- $15.5 billion"
1974,government_health_expenditure_single_year,35000,million_rials,"Encyclopaedia Iranica BEHDARI (Faghih 1989) -- $0.5 billion, distinct figure from the 1948-74 cumulative-growth endpoint above; source text gives both without full reconciliation"
1974,oil_revenue,445000,million_rials,"Encyclopaedia Iranica BEHDARI (Faghih 1989) -- $6.5 billion"
1976,child_immunization_coverage_annual,5000000,children,"Encyclopaedia Iranica BEHDARI (Faghih 1989)"
1978,total_health_workers_and_facilities,79710,count,"Encyclopaedia Iranica BEHDARI (Faghih 1989), mid-1357 Sh figure from source Tables 1-2 (tables themselves not machine-readable, see manifest notes)"
