source_yearbook_edition,report_year_context,topic,narrative_summary
MYB1965v4,1965,Chromite,"Production reached new high ~150,000 metric tons (+25% vs 1964). Two main producers: Esfandegeh Mining Co. and Faryab Mining Co., both forecasting a doubling of output by 1967. Top export markets: Japan, France, West Germany, Australia."
MYB1965v4,1965,Copper exploration,"Geological Survey of Iran continued exploration in three mineralized regions: Azerbaijan, Sistan, and Kerman (the Kerman region contains the Sar Cheshmeh deposit, not yet named/developed at this point). No substantial new findings reported in 1965; exploration scheduled to continue 1966."
MYB1965v4,1965,Iran's first steel mill (planning phase),"Construction of Iran's first rolling mill began in Khuzestan (early 1965). A separate integrated steel mill was in planning with Soviet involvement: initial annual capacity 500,000-600,000 tons of steel, to double in a second phase, targeted to begin production in 1968; financed in exchange for Iran supplying USSR $911 million of natural gas over 15 years (part of the same deal as a USSR-Iran gas pipeline to Astara and a machine-tool plant, 25,000 metric tons/year capacity). Shah Abbas Dam on the Zayandeh Rud River (100km west of Isfahan, French-financed via 1963 $61 million credit, built by a 3-firm French consortium) was specifically intended to supply water for the planned Isfahan steel mill as well as irrigation -- direct cross-reference to this project's dam dataset (wb1975water-major-dams-specifications-1971, 'Shah Abbas-e-Kabir' dam on Zayandehrud)."
MYB1970v3,1970,Sar Cheshmeh copper deposit (formal approval),"On January 4, 1971, Iranian Government formally approved a $330 million open-pit development of the Sar Cheshmeh deposit -- joint venture 30% Iranian Selection Trust Ltd (IST) / 70% Kerman Mining Co. (Rezai family holding). IST itself owned 60% by Selection Trust Ltd and 40% by Consolidated African Selection Trust Ltd. Program at yearend 1970: blister copper production targeted to begin 1974, maintained at ≥105,000 tons/year for first 10-14 years; open pit at 30,000 tons ore/day; reserves to 500 feet depth estimated at 350 million tons of 1.2% sulfide copper (low stripping ratio) plus 20 million tons higher-grade oxide copper; additional 450 million tons of reserves between 500-800 feet depth. Financing expected from West German, Belgian, French, South African banks plus the US Export-Import Bank."
MYB1970v3,1970,Isfahan integrated steel plant (under construction),"Construction of Iran's first integrated steel plant near Isfahan continued under a large team of Soviet specialists. Trial production operations successfully conducted April 1971. Reportedly to have 1.5-million-ton-per-year capacity by 1972 (initial), fed by coking coal from Bafq-area magnetite-type ore bodies ~250 miles from Isfahan and coal transported ~400 miles from north of Kerman via new rail connections."
MYB1970v3,1970,Lead-Zinc,"Khusk plant near Bafq (Iranian/French/British-owned) producing at capacity: 50,400 tons/year of 60%-grade lead-zinc sulfide concentrate from ore averaging 26% metal content. Anguran deposit (heavily oxidized ore) production increased in 1970, overburden stripping approaching 1 million tons/year. Lakan deposit near Khomein (closed since 1959, previously 49% owned by Societe Miniere et Metallurgique de Peñarroya) being reopened."
MYB1970v3,1970,Iron ore discoveries,"Discovery announced of two large iron ore deposits at Sange Zagh and Goli Gohwar, south of Kerman, with estimated reserves of 250 million and 300 million tons respectively (ore type/grade not reported at time of writing). A Japanese steel company expressed interest in a steel project at Bandar Abbas in collaboration with private Iranian sources."
MYB1975v3,1975,Sar Cheshmeh copper (construction underway),"Development work continued on the Sar Cheshmeh porphyry copper deposit. 40 million tons of overburden removal scheduled by 1976 but only 10 million tons actually removed by yearend 1975 -- mine operations delayed from March 1977 target to 1978. Copper flotation/smelting units ~15% complete by yearend 1975. Full-capacity yield projected at 145,000 tons of copper metal annually. A molybdenum extraction plant (12 tons/day capacity) under contract to Parsons-Jurdan Co. (US) was being built within the Sar Cheshmeh complex to process the deposit's molybdenum content, startup tied to Sar Cheshmeh ore extraction (then anticipated early 1978)."
MYB1975v3,1975,Qaleh Zari copper mine,"Initial production announced 1975 from the Qaleh Zari copper mine and concentrator; full capacity projected at 20,000 tons/year of 25%-Cu concentrate."
MYB1975v3,1975,Aryamehr Iron and Steel Complex (Isfahan) operational,"Iran's total crude steel output in 1975 came from the Aryamehr iron and steel complex at Isfahan (Pahlavi-era name for what is now known as Isfahan Steel Mill / Mobarakeh's predecessor plant, officially Zob Ahan Isfahan). Production capacity 750,000 tons/year; expansion to 8-million-ton/year capacity scheduled for completion 1986. Bafq deposit (central Iran) supplied ~1 million tons of iron ore to the complex in 1975. Future capacity growth after Aryamehr's slated expansion was planned to rely on direct-reduction sponge-iron plants under construction/proposed at Ahwaz, Bandar Abbas, Bushire-Kangan and Isfahan -- by 1980 Iran anticipated 9 million tons/year of direct-reduction-based crude steel capacity nationally. Iron ore import deal with Kudremukh, India (20 million tons/year full capacity by 1980) financed partly by Iran, ore to be shipped via Mangalore -> Bandar Shahpur -> rail to Ahwaz -> pelletized at a 5-million-ton/year Lurgi-Chemie(West Germany)-designed plant feeding Ahwaz direct-reduction plants."
MYB1975v3,1975,Aluminum (Arak smelter / Iralco),"Iran's total primary aluminum output produced at the Arak smelter, owned by Iranian Aluminum Co. (Iralco): 82.5% Industrial Development and Renovation Organization (Iranian state agency), 12.5% Reynolds International Inc. (US), 5% Pakistan Government. Arak smelter expansion to 120,000 tons/year capacity, originally slated 1976, revised to early 1979. A second aluminum smelter (150,000 tons/year proposed initial capacity) under study, likely fed by India/Guinea alumina. ~Half of ingot production exported, mainly to Japan."
MYB1975v3,1975,Lead-Zinc (SIMIRAN),"Societe Industrielle et Miniere de l'Iran (SIMIRAN) is the largest lead-zinc mining company in Iran, with two major deposits: Angouran and Khursk. Angouran expansion: 1,000-ton/day flotation plant (1975), to double with heavy-media pre-concentration; full 1978 operation projected to yield 180,000 tons/year zinc concentrate + 60,000 tons/year lead concentrate. Khursk concentrator capacity to double to 700 tons ore/day by 1979. Domestic lead/zinc SMELTING industry (as opposed to mining/concentrating) under consideration: proposed 70,000-ton/year zinc smelter + 20,000-ton/year lead smelter, targeted for 1980."
MYB1980v3,1980,Sar Cheshmeh copper (stalled by revolution),"Iran's major copper project, begun 1973 and by 1980 estimated to cost $1.4 billion (up from the $330 million originally approved in 1970/71), targeting a deposit estimated at 450 million tons of ore grading 1.13% copper. Most complex infrastructure completed by yearend 1978 and ore production had begun, but work was SUSPENDED following withdrawal of foreign personnel because of the Iranian Revolution. Government reported planned output of 145,000 tons/year, now destined solely for the domestic market (vs. the 1970-era plan for Western European export markets), with local industry now relied upon for smelter/refinery equipment and services."
MYB1980v3,1980,Aryamehr/Isfahan Steel Plant (NISC) under coal-supply strain,"The Aryamehr Steel Plant of the National Iranian Steel Corp. (NISC) at Isfahan reported capacity of 1.5 million tons/year of crude steel, built under Soviet supervision with conventional technology. Actual production was LESS THAN HALF of capacity because of coal supply problems -- efforts made to boost local Kerman-region coking coal supply for the plant. A separate $1.5 billion Isfahan-area steelworks planned by Italimpianti (Italy) remained intact after contract renegotiation, iron source to be the Kudremukh (India) deposit under joint development, though Iran's committed offtake was cut from 7.5 to 4.5 million tons/year."
MYB1980v3,1980,Chromite exports collapse context,"Chromite production and exports fell sharply post-revolution (from a peak >230,000 tons in 1977 to ~80,000 tons in 1980); major destinations shifted toward Japan and Eastern Europe, with ~20,000 tons exported to USSR in 1980."
MYB1980v3,1980,Minakan copper mine,"Shipments of concentrate from the Minakan Mine (eastern Khorassan Province), mainly to Japan, resumed in early 1980 after interruption during the height of the revolution. Total production 14,000 tons/year of concentrate."
