category,subcategory,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70
Foreign assets (net),,20.1,27.5,23.0,20.5,18.5,12.8,9.4
Public sector (net),,11.8,4.1,17.5,19.7,32.2,48.0,65.5
Claims on public sector,,33.2,39.6,45.7,51.7,71.3,88.1,115.3
Claims on public sector,Treasury,17.0,19.6,21.4,20.7,24.6,,
Claims on public sector,Plan Organization,9.4,14.1,19.4,25.9,39.1,,
Claims on public sector,Treasury and Plan Organization (combined; source brackets these two together for 1968/69 and 1969/70),,,,,,74.5,102.3
Claims on public sector,Government agencies,6.8,5.9,4.9,5.1,7.6,13.6,13.0
Deposits of public sector,,21.4,35.5,28.2,32.0,39.1,40.1,49.8
Deposits of public sector,Treasury,3.5,1.8,3.1,3.9,4.7,,
Deposits of public sector,Plan Organization,4.3,4.4,6.8,7.0,9.0,,
Deposits of public sector,Treasury and Plan Organization (combined; source brackets these two together for 1968/69 and 1969/70),,,,,,13.8,15.7
Deposits of public sector,Government agencies,13.6,29.3,18.3,21.1,25.4,26.3,34.1
Claims on private sector,,72.9,88.1,102.2,121.2,142.2,167.2,197.9
Assets = Liabilities (total),,104.8,119.7,142.7,161.4,193.0,227.9,272.8
Money supply,,48.9,53.8,60.3,66.8,77.0,87.8,90.5
Money supply,Currency (of which),22.5,24.0,25.4,27.4,30.8,34.1,37.2
Money supply,Demand deposits (of which),26.4,29.8,34.9,39.4,46.3,53.8,53.3
Time and savings deposits,,32.5,38.5,45.2,53.9,67.2,87.4,117.1
Importers' deposits,,0,2.6,4.8,7.1,9.5,7.3,7.8
Capital accounts,,21.9,24.5,28.9,31.0,34.7,37.1,39.8
Other items (net),,1.5,0.3,3.5,2.6,4.5,8.3,16.0
SDR allocation,,0,0,0,0,0,0,1.6
