year,metric,value,unit,source,notes
1895,Black tea imports from India,2000000,pounds,"Encyclopaedia Iranica, TEA, citing Great Britain Foreign Office Annual Series 1896 no.1662 (British consular report on Isfahan/Yazd trade)","Iranian year 1313/1895. Described as an upper bound ('up to'). This predates any domestic tea cultivation in Iran -- the first experimental plot was not planted until 1902 (see below)."
1920,Tea cultivation area,100,hectares,"Encyclopaedia Iranica, TEA, citing Ehlers 1970","Iranian year 1338. Baseline before the state-driven expansion of the 1930s."
1931,Tea cultivation area,800,hectares,"Encyclopaedia Iranica, TEA, citing Ehlers 1970","Iranian year 1310 Sh./1931, just before the 1932 founding of the first processing factory."
1932,Tea imports share of total Persian imports,5,percent,"Encyclopaedia Iranica, TEA, citing Bobek 1936, p.23","Iranian year 1311 Sh./1932, the same year Persia's first tea-processing factory opened and a research station was established in Lahijan (1934) -- both explicitly framed as efforts 'to lessen reliance on imported tea.'"
1932,Tea cultivation area (area planted),1220,hectares,"Encyclopaedia Iranica, TEA, citing Ehlers 1970, p.234","Iranian year 1311 Sh./1932."
1941,Tea cultivation area (area planted),7000,hectares,"Encyclopaedia Iranica, TEA, citing Ehlers 1970, p.234","Iranian year 1320 Sh./1941."
1958,Tea cultivation area (area planted),15000,hectares,"Encyclopaedia Iranica, TEA, citing Ehlers 1970, p.234","Iranian year 1337 Sh./1958 -- the same year the publicly-owned Iran Tea Organization (Sazman-e Chay-e Iran) was founded (renamed Iran Tea Company, Sherkat-e Sahami-e Chay-e Iran, in 1968)."
1968,Tea cultivation area (area planted),24000,hectares,"Encyclopaedia Iranica, TEA, citing Ehlers 1970, p.234 and p.239","Iranian year 1347 Sh./1968. Held by 27,000 individual planters -- i.e. an average holding well under 1 hectare once large estates (5-60 ha) are excluded."
1968,Number of tea planters,27000,people,"Encyclopaedia Iranica, TEA, citing Ehlers 1970, p.239","Same year as the area figure above."
1971,Total area actually planted to tea (aerial-photo survey),31100,hectares,"Encyclopaedia Iranica, TEA, citing an Iran Tea Company aerial-photography survey","Measured two years before the 1973 'producing area' figure below; the gap between 'planted' and 'producing' area reflects young/non-bearing plantings."
1973,Total tea-producing area,26800,hectares,"Encyclopaedia Iranica, TEA, narrative text","Iranian year 1352 Sh./1973."
1971,Black tea national production (early-1970s range, low end),15000,tons/year,"Encyclopaedia Iranica, TEA, citing Van Puymbroeck and Farhadi 1972, pp.19-28","'Early 1350s Sh./1970s' -- range given as 15,000-19,000 tons/year; year assigned as 1971 (start of the cited range) for charting purposes, see high-end row below for 1973."
1973,Black tea national production (early-1970s range, high end),19000,tons/year,"Encyclopaedia Iranica, TEA, citing Van Puymbroeck and Farhadi 1972, pp.19-28","Companion to the row above; same source range."
1972,Official (recorded) tea imports,6000,tons/year,"Encyclopaedia Iranica, TEA, citing Van Puymbroeck and Farhadi 1972, pp.19-28","About two-thirds from Ceylon, one-third from India. 'Unrecorded imports' (smuggling via the Persian Gulf, Iraq, Pakistan and Afghanistan borders) were separately estimated at 10,000-15,000 tons/year on top of this -- see next row."
1972,Unofficial/smuggled tea imports (estimated, low end),10000,tons/year,"Encyclopaedia Iranica, TEA, citing Van Puymbroeck and Farhadi 1972, pp.19-28","Estimate range 10,000-15,000 tons/year, 'impossible to form even a crude estimate' precisely -- included as the stated lower bound."
1980,Annual tea production (1980-84 range, low end),32000,tons/year,"Encyclopaedia Iranica, TEA, citing Markaz-e Amar-e Iran (Statistical Centre of Iran), Tazaha-ye Amar 6, 1985","Iranian years 1359-1363 Sh./1980-1984, range 32,000-37,000 tons/year -- a roughly doubling of production versus the early-1970s figures above, attributed to yield improvements on existing Caspian plantations."
1984,Annual tea production (1980-84 range, high end),37000,tons/year,"Encyclopaedia Iranica, TEA, citing Markaz-e Amar-e Iran, Tazaha-ye Amar 6, 1985","Companion to the row above; same source range."
1980,Official tea imports (1980-84 range, low end),15000,tons/year,"Encyclopaedia Iranica, TEA, narrative text","Range 15,000-30,000 tons/year for 1980-84; imports grew at 'almost the same rate' as domestic production over this period, i.e. self-sufficiency did not improve despite the production increase."
1984,Official tea imports (1980-84 range, high end),30000,tons/year,"Encyclopaedia Iranica, TEA, narrative text","Companion to the row above; same source range."
1968,Tea-processing factories (total),127,factories,"Encyclopaedia Iranica, TEA, citing Van Puymbroeck and Farhadi 1972, pp.16-17","Approximate period of the surrounding 1968-1972 data; the state Iran Tea Company owned only 8 of these outright but leased 60-65 of the best-equipped private factories annually to secure its own production, with a government supervisor placed in each leased factory and government-controlled purchase prices for green leaf."
